ClimateZone,SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment
InlandEmpire,MELI7,Melaleuca linariifolia,Cajeput tree,BES,BES OTHER
InlandEmpire,MEQU,Melaleuca quinquenervia,Cajeput tree,BEM,BEM OTHER
InlandEmpire,MOAL,Morus alba,White mulberry,BDL,BDL OTHER
InlandEmpire,MORU,Morus rubra,Red mulberry,BDM,BDM OTHER
InlandEmpire,NEOL,Nerium oleander,Oleander,BES,BES OTHER
InlandEmpire,OLEU,Olea europaea,Olive,BES,BES OTHER
InlandEmpire,OLEU2,Olea europaea 'Swan Hill',Swan hill olive,BES,BES OTHER
InlandEmpire,PAAC,Parkinsonia aculeata,Jerusalem thorn,BDM,BDM OTHER
InlandEmpire,PEAM,Persea americana,Avocado,BDS,BDS OTHER
InlandEmpire,PHCA,Phoenix canariensis,Canary island date palm,PEL,PEL OTHER
InlandEmpire,PHDA4,Phoenix dactylifera,Date palm,PEM,PEM OTHER
InlandEmpire,PHFR,Photinia x fraseri,Fraser photinia,BES,BES OTHER
InlandEmpire,PHRO,Phoenix roebelenii,Pygmy date palm,PEM,PEM OTHER
InlandEmpire,PIAT,Pinus attenuata,Knobcone pine,CEL,CEL OTHER
InlandEmpire,PIBR2,Pinus brutia,Turkish pine; east mediterranean pine,CEM,PIBR2
InlandEmpire,PICA,Pinus canariensis,Canary island pine,CEL,PICA
InlandEmpire,PICH,Pistacia chinensis,Chinese pistache,BDM,PICH
InlandEmpire,PICO2,Pinus coulteri,Coulter pine,CEL,CEL OTHER
InlandEmpire,PICO5,Pinus contorta var. bolanderi,Bolander beach pine,CES,PICO5
InlandEmpire,PIED,Pinus edulis,Pinyon pine,CES,CES OTHER
InlandEmpire,PIEL2,Pinus eldarica,Afghan pine,CEL,CEL OTHER
InlandEmpire,PIHA,Pinus halepensis,Aleppo pine,CEL,CEL OTHER
InlandEmpire,PIMU2,Pinus muricata,Bishop pine,CEM,CEM OTHER
InlandEmpire,PINI,Pinus nigra,Austrian pine,CEL,CEL OTHER
InlandEmpire,PIPH2,Pittosporum phillyraeoides,Pittosporum willow,BES,BES OTHER
InlandEmpire,PIPI2,Pinus pinea,Itailian stone pine,CEL,CEL OTHER
InlandEmpire,PIPU,Picea pungens,Blue spruce,CEL,CEL OTHER
InlandEmpire,PIRA,Pinus radiata,Montery pine,CEL,CEL OTHER
InlandEmpire,PIRH,Pittosporum rhombifolium,Queensland pittosporum,BEM,BEM OTHER
InlandEmpire,PIRO,Pinus roxburghii,Chir pine,CEL,CEL OTHER
InlandEmpire,PITA,Pinus taeda,Loblolly pine,CEL,CEL OTHER
InlandEmpire,PITH,Pinus thunbergiana,Japanese black pine,CES,CES OTHER
InlandEmpire,PITO,Pittosporum tobira,Japanese pittosporum,BEM,BEM OTHER
InlandEmpire,PITO2,Pinus torreyana,Torrey pine,CEL,CEL OTHER
InlandEmpire,PIUN,Pittosporum undulatum,Victorian box,BEM,BEM OTHER
InlandEmpire,PIVI5,Pittosporum viridiflorum,Cape cheesewood,BEM,BEM OTHER
InlandEmpire,PLAC,Platanus hybrida,London planetree,BDL,PLAC
InlandEmpire,PLOC,Platanus occidentalis,American sycamore,BDL,PLRA
InlandEmpire,PLRA,Platanus racemosa,California sycamore,BDL,PLRA
InlandEmpire,POCA2,Populus x canadensis,Carolina poplar,BDL,BDL OTHER
InlandEmpire,POGR2,Podocarpus gracilior,Fern pine,BEL,BEL OTHER
InlandEmpire,POMA,Podocarpus macrophyllus,Yew podocarpus,BES,BES OTHER
InlandEmpire,PONI,Populus nigra,Black poplar,BDL,BDL OTHER
InlandEmpire,PRAR,Prunus armeniaca,Apricot,BDS,BDS OTHER
InlandEmpire,PRBL,Prunus blieriana,Blierana plum,BDS,BDS OTHER
InlandEmpire,PRCA,Prunus caroliniana,Carolina laurelcherry,BES,BES OTHER
InlandEmpire,PRCE,Prunus cerasifera,Cherry plum,BDS,BDS OTHER
InlandEmpire,PRCEKV,Prunus cerasifera 'Krauter Vesuvius',Krauter vesuvius plum,BDS,BDS OTHER
InlandEmpire,PRCH,Prosopis chilensis,Algarrobo,BDM,BDM OTHER
InlandEmpire,PRDO,Prunus domestica,Common plum,BDS,BDS OTHER
InlandEmpire,PRDU,Prunus dulcis,Sweet almond,BDS,BDS OTHER
InlandEmpire,PRIL,Prunus ilicifolia,Hollyleaf cherry,BDS,BDS OTHER
InlandEmpire,PRLY,Prunus ilicifolia ssp. lyonii,Catalina cherry,BDS,BDS OTHER
InlandEmpire,PRPE2,Prunus persica,Peach,BDS,BDS OTHER
InlandEmpire,PRSE2,Prunus serrulata,Kwanzan cherry,BDS,BDS OTHER
InlandEmpire,PSME,Pseudotsuga menziesii,Douglas fir,CEL,CEL OTHER
InlandEmpire,PTST,Pterocarya stenoptera,Chinese wingnut,BDL,BDL OTHER
InlandEmpire,PUGR,Punica granatum,Pomegranate,BDS,BDS OTHER
InlandEmpire,PYCA,Pyrus calleryana,Callery pear,BDM,PYCA
InlandEmpire,PYCA_A,Pyrus calleryana 'Aristocrat',Callery pear 'Aristocrat',BDM,PYCA
InlandEmpire,PYCA_B,Pyrus calleryana 'Bradford',Callery pear 'Bradford',BDM,PYCA
InlandEmpire,PYKA,Pyrus kawakamii,Evergreen pear,BES,BES OTHER
InlandEmpire,QUAG,Quercus agrifolia,Coastal live oak; California live oak,BEL,QUAG
InlandEmpire,QUCO,Quercus coccinea,Scarlet oak,BDL,QUAG
InlandEmpire,QUEN,Quercus engelmannii,Engelmann oak,BDM,QUAG
InlandEmpire,QUIL2,Quercus ilex,Roble negro,BEL,QUIL2
InlandEmpire,QUKE,Quercus kelloggii,California black oak,BEL,QUAG
InlandEmpire,QULO,Quercus lobata,California white oak,BDL,QUAG
InlandEmpire,QUPA,Quercus palustris,Pin oak,BDL,QUAG
InlandEmpire,QURO,Quercus robur,English oak,BDL,QUAG
InlandEmpire,QURU,Quercus rubra,Northern red oak,BDL,QUAG
InlandEmpire,QUSU,Quercus suber,Cork oak,BEL,QUAG
InlandEmpire,QUVI,Quercus virginiana,Live oak,BEL,QUAG
InlandEmpire,RHIN,Rhus integrifolia,Lemonade berry,BDS,BDS OTHER
InlandEmpire,ROAMI,Robinia x ambigua 'Idahoenis',Idaho locust,BDM,BDM OTHER
InlandEmpire,ROPS,Robinia pseudoacacia,Black locust,BDL,BDL OTHER
InlandEmpire,SAALT,Salix alba 'Tristis',Golden weeping willow,BDL,BDL OTHER
InlandEmpire,SACANE,Sambucus caerulea var neomexicana,Neomexican blue elderberry,BDS,BDS OTHER
InlandEmpire,SAMA,Salix matsudana,Corkscrew willow,BDL,BDL OTHER
InlandEmpire,SCMO,Schinus molle,California peppertree,BEM,SCMO
InlandEmpire,SCPO,Schinus polygamus,Huingan,BES,SCMO
InlandEmpire,SCTE,Schinus terebinthifolius,Brazilian pepper,BES,SCTE
InlandEmpire,SECO9,Senna corymbosa,Argentine senna,BES,BES OTHER
InlandEmpire,SEGI,Sequoiadendron giganteum,Giant sequoia,CEL,CEL OTHER
InlandEmpire,SESE,Sequoia sempervirens,Coast redwood,CEL,CEL OTHER
InlandEmpire,SOJA,Sophora japonica,Japanese pagoda tree,BDM,BDM OTHER
InlandEmpire,STSI,Stenocarpus sinuatus,Firewheel tree,BES,BES OTHER
InlandEmpire,SYPA2,Syzygium paniculatum,Brush cherry,BEM,BEM OTHER
InlandEmpire,TAAV,Tabebuia avellanedae,Ipe-roxo,BES,BES OTHER
InlandEmpire,TACH3,Tabebuia chrysotricha,Ipe-amarelo,BES,BES OTHER
InlandEmpire,THOC,Thuja occidentalis,Northern white cedar,CEL,CEL OTHER
InlandEmpire,THOR,Platycladus orientalis,Oriental arbor vitae,CES,CES OTHER
InlandEmpire,TRAC,Trithrinax acanthocoma,Brizilian needle palm,PES,PES OTHER
InlandEmpire,TRCO,Tristaniopsis conferta,Brisbane box,BES,BES OTHER
InlandEmpire,TRFO,Trachycarpus fortunei,Windmill palm,PES,PES OTHER
InlandEmpire,TRSE6,Triadica sebifera,Tallowtree,BDM,BDM OTHER
InlandEmpire,ULAM,Ulmus americana,American elm,BDL,BDL OTHER
InlandEmpire,ULPA,Ulmus parvifolia,Chinese elm,BEL,BEL OTHER
InlandEmpire,ULPU,Ulmus pumila,Siberian elm,BEL,BEL OTHER
InlandEmpire,UMCA,Umbellularia californica,California laurel,BEL,BEL OTHER
InlandEmpire,WAFI,Washingtonia filifera,California palm,PES,PES OTHER
InlandEmpire,WARO,Washingtonia robusta,Mexican fan palm,PES,WARO
InlandEmpire,XYCO,Xylosma congestum,Shiny xylosma,PES,PES OTHER
InlandEmpire,YUGL2,Yucca gloriosa,Moundlily yucca,PES,PES OTHER
InlandEmpire,YUGU,Yucca guatemalensis,Bluestem yucca,PES,PES OTHER
InlandEmpire,ZESE,Zelkova serrata,Japanese zelkova,BDL,BDL OTHER
InlandEmpire,ZESE_V,Zelkova serrata 'Village Green',Japanese zelkova 'Village Green',BDL,BDL OTHER
InlandEmpire,BDL OTHER,Broadleaf Deciduous Large,BDL OTHER,BDL,FRUH
InlandEmpire,BDM OTHER,Broadleaf Deciduous Medium,BDM OTHER,BDM,PYCA
InlandEmpire,BDS OTHER,Broadleaf Deciduous Small,BDS OTHER,BDS,LAIN
InlandEmpire,BEL OTHER,Broadleaf Evergreen Large,BEL OTHER,BEL,CICA
InlandEmpire,BEM OTHER,Broadleaf Evergreen Medium,BEM OTHER,BEM,MAGR
InlandEmpire,BES OTHER,Broadleaf Evergreen Small,BES OTHER,BES,SCTE
InlandEmpire,CEL OTHER,Conifer Evergreen Large,CEL OTHER,CEL,PICA
InlandEmpire,CEM OTHER,Conifer Evergreen Medium,CEM OTHER,CEM,PIBR2
InlandEmpire,CES OTHER,Conifer Evergreen Small,CES OTHER,CES,PICO5
InlandEmpire,PEL OTHER,Palm Evergreen Large,PEL OTHER,PEL,PHCA
InlandEmpire,PEM OTHER,Palm Evergreen Medium,PEM OTHER,PEM,PHDA4
InlandEmpire,PES OTHER,Palm Evergreen Small,PES OTHER,PES,WARO
SoCalCoast,AC,Acer  species,Maple,BDL,BDL OTHER
SoCalCoast,ACBA2,Acacia baileyana,Bailey acacia,BEM,BEM OTHER
SoCalCoast,ACDE,Acacia decurrens,Green acacia,BEM,BEM OTHER
SoCalCoast,ACLO,Acacia longifolia,Sydney golden wattle,BEM,BEM OTHER
SoCalCoast,ACME,Acacia melanoxylon,Black acacia,BEL,BEL OTHER
SoCalCoast,ACPA,Acer palmatum,Japanese maple,BDL,BDL OTHER
SoCalCoast,ACRU,Acer rubrum,Red maple,BDL,BDL OTHER
SoCalCoast,ACSA1,Acer saccharinum,Silver maple,BDL,BDL OTHER
SoCalCoast,AGFL,Agonis flexuosa,Peppermint tree; astralian willow myrtle,BES,BES OTHER
SoCalCoast,ALCO2,Alnus cordata,Italian alder,BDM,BDM OTHER
SoCalCoast,ALJU,Albizia julibrissin,Mimosa,BDS,BDS OTHER
SoCalCoast,ALRH,Alnus rhombifolia,White alder,BDM,BDM OTHER
SoCalCoast,ANCH4,Annona cherimola,Cherimoya,BES,BES OTHER
SoCalCoast,ARBI,Araucaria bidwillii,Bunya bunya,CEL,CEL OTHER
SoCalCoast,ARCO24,Araucaria columnaris,Coral reef araucaria,CEL,CEL OTHER
SoCalCoast,ARCU,Archontophoenix cunninghamiana,King palm,PES,PES OTHER
SoCalCoast,ARHE,Araucaria heterophylla,NCN,CEL,CEL OTHER
SoCalCoast,ARRO,Arecastrum romanzoffianum,Queen palm,PES,WARO
SoCalCoast,ARUN,Arbutus unedo,Strawberry tree,BES,BES OTHER
SoCalCoast,BAVA,Bauhinia variegata,Mountain ebony,BDS,BDS OTHER
SoCalCoast,BE,Betula  species,Birch,BDM,BDM OTHER
SoCalCoast,BEPE,Betula pendula,European white birch,BDM,BDM OTHER
SoCalCoast,BR,Brahea  species,Palm(brahea),PES,PES OTHER
SoCalCoast,BRAC,Schefflera actinophylla,Schefflera,BES,BES OTHER
SoCalCoast,BRAR,Brahea armata,Mexican blue palm,PES,PES OTHER
SoCalCoast,BRED,Brahea edulis,Guadalupe palm,PES,PES OTHER
SoCalCoast,BRPA,Broussonetia papyrifera,Paper mulberry,BDM,BDM OTHER
SoCalCoast,BRPO,Brachychiton populneum,Kurrajong,BEM,CICA
SoCalCoast,BUCA,Butia capitata,Jelly palm,PES,PES OTHER
SoCalCoast,CA4,Castanea  species,Chestnut,BDL,BDL OTHER
SoCalCoast,CACA3,Calodendrum capense,Cape chesnut,BEM,BEM OTHER
SoCalCoast,CACI,Callistemon citrinus,Lemon bottlebrush,BES,CACI
SoCalCoast,CACU8,Casuarina cunninghamiana,River sheoak,CEL,CEDE
SoCalCoast,CADE2,Calocedrus decurrens,Incense cedar,CEL,CEL OTHER
SoCalCoast,CAED,Casimiroa edulis,White sapote,BEL,BEL OTHER
SoCalCoast,CAEX,Cassia excelsa,Crown of gold tree,BES,BES OTHER
SoCalCoast,CALE,Cassia leptophylla,Gold medallion tree,BES,BES OTHER
SoCalCoast,CAST,Casuarina stricta,Coast beefwood,CEL,CEL OTHER
SoCalCoast,CATW,Calliandra tweedii,Trinidad flame bush,BES,BES OTHER
SoCalCoast,CAVI,Callistemon viminalis,Weeping bottlebrush,BES,BES OTHER
SoCalCoast,CE2,Celtis  species,Hackberry,BDL,BDL OTHER
SoCalCoast,CEAT,Cedrus atlantica,Atlas cedar,CEL,CEDE
SoCalCoast,CECA,Cercis canadensis,Eastern redbud,BDS,BDS OTHER
SoCalCoast,CEDE,Cedrus deodara,Deodar cedar,CEL,CEDE
SoCalCoast,CESI3,Ceratonia siliqua,Algarrobo europeo,BEM,CESI3
SoCalCoast,CH,Chamaecyparis  species,Cedar,CEL,CEL OTHER
SoCalCoast,CHHU,Chamaerops humilis,Mediterranean fan palm,PES,PES OTHER
SoCalCoast,CHSP,Chorisia speciosa,Palo borracho,BEM,BEM OTHER
SoCalCoast,CICA,Cinnamomum camphora,Camphor tree,BEM,CICA
SoCalCoast,CILI,Citrus limon,Lemon,BES,BES OTHER
SoCalCoast,CISI,Citrus sinensis,Orange,BES,BES OTHER
SoCalCoast,COAU,Cordyline australis,Giant dracaena,PES,PES OTHER
SoCalCoast,COLA,Cocculus laurifolius,Laurel-leafed snailseed,BES,BES OTHER
SoCalCoast,COLA18,Cotoneaster lacteus,Milkflower cotoneaster,BES,BES OTHER
SoCalCoast,CRJA,Cryptomeria japonica,Japanese red cedar,CEL,CEL OTHER
SoCalCoast,CU,Cupressus  species,Cypress,CEL,CEL OTHER
SoCalCoast,CUAN,Cupaniopsis anacardioides,Carrotwood,BES,CUAN
SoCalCoast,CULE,x Cupressocyparis leylandii,Leyland cypress,CES,CES OTHER
SoCalCoast,CUMA,Cupressus macrocarpa,Monterey cypress,CEL,CEL OTHER
SoCalCoast,CUSE,Cupressus sempervirens,Italian cypress,CEL,CEL OTHER
SoCalCoast,CYRE11,Cycas revoluta,Sago palm,CES,CES OTHER
SoCalCoast,DIVI,Diospyros virginiana,Common persimmon,BDS,BDS OTHER
SoCalCoast,DOVI,Dodonaea viscosa,Florida hopbush,BES,BES OTHER
SoCalCoast,DRDR,Dracaena draco,Dragon tree,PES,PES OTHER
SoCalCoast,DUER,Duranta erecta,Golden dewdrops,BES,BES OTHER
SoCalCoast,ERBI,Erythrina bidwillii,Bidwill's coral tree,BEL,BEL OTHER
SoCalCoast,ERCA,Erythrina caffra,Kaffirboom coral tree,BEL,BEL OTHER
SoCalCoast,ERCO,Erythrina coralloides,Naked coral tree,BEL,BEL OTHER
SoCalCoast,ERDE,Eriobotrya deflexa,Bronze loquat,BES,BES OTHER
SoCalCoast,ERJA,Eriobotrya japonica,Loquat tree,BES,BES OTHER
SoCalCoast,ERLY,Erythrina lysistemon,Lysistemon coral tree,BEL,BEL OTHER
SoCalCoast,EU1,Eucalyptus  species,Gum,BEL,BEL OTHER
SoCalCoast,EUCA1,Eucalyptus camaldulensis,Red gum eucalyptus,BEL,BEL OTHER
SoCalCoast,EUCI,Eucalyptus cinerea,Silver dollar eucalyptus,BEM,BEM OTHER
SoCalCoast,EUCI2,Eucalyptus citriodora,Lemonscented gum,BEL,BEL OTHER
SoCalCoast,EUCL,Eucalyptus cladocalyx,Sugargum,BEL,BEL OTHER
SoCalCoast,EUCO24,Euphorbia cotinifolia,Mexican shrubby spurge,BES,BES OTHER
SoCalCoast,EUCO3,Eucalyptus cornuta,Yate,BEL,BEL OTHER
SoCalCoast,EUER,Eucalyptus erythrocorys,Red-cap gum,BEM,BEM OTHER
SoCalCoast,EUFI81,Eucalyptus ficifolia,Redflower gum,BEL,EUFI81
SoCalCoast,EUGL,Eucalyptus globulus,Blue gum eucalyptus,BEL,BEL OTHER
SoCalCoast,EUGR,Eucalyptus grandis,Flooded gum eucalyptus,BEL,BEL OTHER
SoCalCoast,EULE,Eucalyptus leucoxylon,White ironbark,BEM,BEM OTHER
SoCalCoast,EUMA23,Eucalyptus maculata,Spotted gum,BEL,BEL OTHER
SoCalCoast,EUNI,Eucalyptus nicholii,Willow-leaved gimlet,BEM,BEM OTHER
SoCalCoast,EUPO,Eucalyptus polyanthemos,Sliver dollar gum eucalyptus,BEL,BEL OTHER
SoCalCoast,EURU,Eucalyptus rudis,Desert gum eucalyptus,BEL,BEL OTHER
SoCalCoast,EUSI,Eucalyptus sideroxylon,Red ironbark,BEL,BEL OTHER
SoCalCoast,EUSM,Eugenia smithii,Lilly-pilly tree,BES,BES OTHER
SoCalCoast,EUTO11,Eucalyptus torquata,Coral gum,BEM,BEM OTHER
SoCalCoast,EUVI,Eucalyptus viminalis,Ribbon gum eucalyptus,BEL,BEL OTHER
SoCalCoast,FESE,Feijoa sellowiana,Pineapple guava,BES,BES OTHER
SoCalCoast,FI1,Ficus  species,Fig,BEM,BEM OTHER
SoCalCoast,FIAL5,Ficus binnendijkii,Alii ficus,BES,BES OTHER
SoCalCoast,FIBE,Ficus benjamina,Bejamin fig,BEM,BEM OTHER
SoCalCoast,FICA,Ficus carica,Common fig,BDS,BDS OTHER
SoCalCoast,FIEL,Ficus elastica,Rubber plant,BEM,BEM OTHER
SoCalCoast,FILY,Ficus lyrata,Fiddle leaf fig,BES,BES OTHER
SoCalCoast,FIMA2,Ficus macrophylla,Morton Bay fig,BEL,BEL OTHER
SoCalCoast,FIMI,Ficus thonningii,Figueira benjamin,BEM,FIMI
SoCalCoast,FIRU,Ficus rubiginosa,Rustyleaf fig,BEM,BEM OTHER
SoCalCoast,FIWA,Ficus watkinsiana,Watkins fig,BEL,BEL OTHER
SoCalCoast,FRUH,Fraxinus uhdei,Evergreen ash,BEL,BEL OTHER
SoCalCoast,FRVE,Fraxinus velutina,Velvet ash,BEL,BEL OTHER
SoCalCoast,GEPA,Geijera parviflora,Wilga; australian willow,BES,BES OTHER
SoCalCoast,GIBI,Ginkgo biloba,Ginkgo,BDM,BDM OTHER
SoCalCoast,GRRO,Grevillea robusta,Silk oak,BEL,BEL OTHER
SoCalCoast,HACA3,Harpephyllum caffrum,Kaffir plum,BES,BES OTHER
SoCalCoast,HALA,Hakea laurina,Pincushion tree,BES,BES OTHER
SoCalCoast,ILAL,Ilex altaclarensis,Wilson holly,BES,BES OTHER
SoCalCoast,JAMI,Jacaranda mimosifolia,Jacaranda,BDS,JAMI
SoCalCoast,JUCH,Juniperus chinensis,Chinese juniper,CES,CES OTHER
SoCalCoast,JUHI,Juglans hindsii,Hind walnut,BDL,BDL OTHER
SoCalCoast,KOBI,Koelreuteria bipinnata,Chinese flame tree,BDM,BDM OTHER
SoCalCoast,LAIN,Lagerstroemia indica,Common crapemyrtle,BDS,BDS OTHER
SoCalCoast,LAPA,Lagunaria patersonii,Primrose tree; cow itch tree,BEM,BEM OTHER
SoCalCoast,LE14,Leptospermum  species,Teatree,BES,BES OTHER
SoCalCoast,LILU,Ligustrum lucidum,Chinese privet,BEM,BEM OTHER
SoCalCoast,LIOR,Liquidambar orientalis,Oriental sweetgum,BDM,BDM OTHER
SoCalCoast,LIST,Liquidambar styraciflua,Sweetgum,BDM,LIST
SoCalCoast,LITU,Liriodendron tulipifera,Tulip tree,BDL,BDL OTHER
SoCalCoast,MABO,Maytenus boaria,Mait…n,BEM,BEM OTHER
SoCalCoast,MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR
SoCalCoast,MASY2,Malus sylvestris,Apple,BDS,BDS OTHER
SoCalCoast,MATE,Macadamia tetraphylla,Rough-shell macadamia,BES,BES OTHER
SoCalCoast,MATI,Machaerium tipu,Tipa,BDS,BDS OTHER
SoCalCoast,MEAR,Melaleuca armillaris,Drooping melaleuca,BES,BES OTHER
SoCalCoast,MEEX,Metrosideros excelsus,New zealand christmas tree,BEM,MEEX
SoCalCoast,MENE,Melaleuca nesophila,Pink melaleuca,BES,BES OTHER
SoCalCoast,MEQU,Melaleuca quinquenervia,Cajeput tree,BEM,MEQU
SoCalCoast,MOAL,Morus alba,White mulberry,BDL,BDL OTHER
SoCalCoast,MU5,Musa  species,Banana,BES,BES OTHER
SoCalCoast,MYCO,Myrtus communis,Myrtle,BES,BES OTHER
SoCalCoast,MYLA,Myoporum laetum,Mioporo,BES,BES OTHER
SoCalCoast,NEOL,Nerium oleander,Oleander,BES,CACI
SoCalCoast,OLEU,Olea europaea,Olive,BES,BES OTHER
SoCalCoast,PALO8,Paraserianthes lophantha,Plume albizia,BDS,BDS OTHER
SoCalCoast,PEAM,Persea americana,Avocado,BDS,BDS OTHER
SoCalCoast,PEBO,Persea borbonia,Redbay,BDS,BDS OTHER
SoCalCoast,PHCA,Phoenix canariensis,Canary island date palm,PEL,PHCA
SoCalCoast,PHDA4,Phoenix dactylifera,Date palm,PEM,PHDA4
SoCalCoast,PHRE,Phoenix reclinata,Senegal date palm,PEM,PEM OTHER
SoCalCoast,PHRO,Phoenix roebelenii,Pygmy date palm,PEM,PEM OTHER
SoCalCoast,PI1,Picea  species,Spruce,CEL,CEL OTHER
SoCalCoast,PIBR2,Pinus brutia,Turkish pine; east mediterranean pine,CEM,PIBR2
SoCalCoast,PICA,Pinus canariensis,Canary island pine,CEL,PICA
SoCalCoast,PICO5,Pinus contorta 'bolanderi',Bolander beach pine,CES,PICO5
SoCalCoast,PICR,Pittosporum crassifolium,Stiffleaf cheesewood,BEM,BEM OTHER
SoCalCoast,PIDE,Pinus densiflora,Japanese red pine,CEL,CEL OTHER
SoCalCoast,PIED,Pinus edulis,Pinyon pine,CES,CES OTHER
SoCalCoast,PIHA,Pinus halepensis,Aleppo pine,CEL,CEL OTHER
SoCalCoast,PIPI2,Pinus pinea,Itailian stone pine,CEL,CEL OTHER
SoCalCoast,PIPI6,Pinus pinaster,Maritime pine,CEL,CEL OTHER
SoCalCoast,PIRA,Pinus radiata,Montery pine,CEL,CEL OTHER
SoCalCoast,PIRH,Pittosporum rhombifolium,Queensland pittosporum,BEM,BEM OTHER
SoCalCoast,PITH,Pinus thunbergiana,Japanese black pine,CES,CES OTHER
SoCalCoast,PITO,Pittosporum tobira,Japanese pittosporum,BEM,BEM OTHER
SoCalCoast,PITO2,Pinus torreyana,Torrey pine,CEL,CEL OTHER
SoCalCoast,PIUN,Pittosporum undulatum,Victorian box,BEM,PIUN
SoCalCoast,PIVI5,Pittosporum viridiflorum,Cape cheesewood,BEM,BEM OTHER
SoCalCoast,PLAC,Platanus hybrida,London planetree,BDL,PLAC
SoCalCoast,PLRA,Platanus racemosa,California sycamore,BDL,BDL OTHER
SoCalCoast,POAL,Populus alba,White poplar,BDL,BDL OTHER
SoCalCoast,POGR2,Podocarpus gracilior,Fern pine,BEL,POMA
SoCalCoast,POHE2,Podocarpus henkelii,Long-leafed yellowwood,BES,BES OTHER
SoCalCoast,POMA,Podocarpus macrophyllus,Yew podocarpus,BES,POMA
SoCalCoast,PONI,Populus nigra,Black poplar,BDL,BDL OTHER
SoCalCoast,PR,Prunus  species,Plum,BDS,BDS OTHER
SoCalCoast,PRAM2,Prunus amygdalus,Almendro,BDS,BDS OTHER
SoCalCoast,PRAR,Prunus armeniaca,Apricot,BDS,BDS OTHER
SoCalCoast,PRCA,Prunus caroliniana,Carolina laurelcherry,BES,BES OTHER
SoCalCoast,PRCE,Prunus cerasifera,Cherry plum,BDS,BDS OTHER
SoCalCoast,PRDO,Prunus domestica,Common plum,BDS,BDS OTHER
SoCalCoast,PRLY,Prunus ilicifolia ssp. lyonii,Catalina cherry,BDS,BDS OTHER
SoCalCoast,PRPE2,Prunus persica,Peach,BDS,BDS OTHER
SoCalCoast,PRSE2,Prunus serrulata,Kwanzan cherry,BDS,BDS OTHER
SoCalCoast,PSCA,Psidium cattleianum,Strawberry guava,BES,BES OTHER
SoCalCoast,PSME,Pseudotsuga menziesii,Douglas fir,CEL,CEL OTHER
SoCalCoast,PYCA,Pyrus calleryana,Callery pear,BES,BES OTHER
SoCalCoast,PYCO,Pyrus communis,Common pear,BES,BES OTHER
SoCalCoast,PYKA,Pyrus kawakamii,Evergreen pear,BES,BES OTHER
SoCalCoast,QUAG,Quercus agrifolia,Coastal live oak; California live oak,BEL,BEL OTHER
SoCalCoast,QUIL2,Quercus ilex,Roble negro,BEL,BEL OTHER
SoCalCoast,RARI,Ravenea rivularis,Majesty palm,PES,PES OTHER
SoCalCoast,ROPS,Robinia pseudoacacia,Black locust,BDL,BDL OTHER
SoCalCoast,SAMA,Salix matsudana,Corkscrew willow,BDL,BDL OTHER
SoCalCoast,SAPE12,Salix x pendulina Wenderoth,Wisconsin weeping willow,BDL,BDL OTHER
SoCalCoast,SCMO,Schinus molle,California peppertree,BEM,BEM OTHER
SoCalCoast,SCTE,Schinus terebinthifolius,Brazilian pepper,BES,SCTE
SoCalCoast,SESE,Sequoia sempervirens,Coast redwood,CEL,CEL OTHER
SoCalCoast,STNI,Strelitzia nicolai,Bird of paradise tree,BES,BES OTHER
SoCalCoast,STSI,Stenocarpus sinuatus,Firewheel tree,BES,BES OTHER
SoCalCoast,SYPA2,Syzygium paniculatum,Brush cherry,BEM,BEM OTHER
SoCalCoast,TAMU,Taxodium mucronatum,Montezuma cypress,BDL,BDL OTHER
SoCalCoast,THOR,Platycladus orientalis,Oriental arbor vitae,CES,CES OTHER
SoCalCoast,THPE3,Thevetia peruviana,Luckynut,BES,BES OTHER
SoCalCoast,TRCO,Tristaniopsis conferta,Brisbane box,BES,TRCO
SoCalCoast,TRFO,Trachycarpus fortunei,Windmill palm,PES,PES OTHER
SoCalCoast,TRLA,Tristaniopsis laurina,Water gum; kanooka,BES,BES OTHER
SoCalCoast,TUCA,Tupidanthus calyptratus,Tupidanthus,BES,BES OTHER
SoCalCoast,ULPA,Ulmus parvifolia,Chinese elm,BEL,BEL OTHER
SoCalCoast,ULPU,Ulmus pumila,Siberian elm,BEL,BEL OTHER
SoCalCoast,VITI2,Viburnum tinus,Laurustinus,BES,BES OTHER
SoCalCoast,WAFI,Washingtonia filifera,California palm,PES,WARO
SoCalCoast,WARO,Washingtonia robusta,Mexican fan palm,PES,WARO
SoCalCoast,XYCO,Xylosma congestum,Shiny xylosma,PES,PES OTHER
SoCalCoast,YU1,Yucca  species,Yucca,PES,PES OTHER
SoCalCoast,YUGL2,Yucca gloriosa,Moundlily yucca,PES,PES OTHER
SoCalCoast,YUGU,Yucca guatemalensis,Bluestem yucca,PES,PES OTHER
SoCalCoast,EULE2,Eucalyptus lehmannii,Bushy yate,BES,BES OTHER
SoCalCoast,EUOC9,Eucalyptus occidentalis,Flat-top yate,BEL,BEL OTHER
SoCalCoast,FIRE4,Ficus retusa ssp. nitida,Indian laurel fig,BEM,BEM OTHER
SoCalCoast,FISI,Firmiana simplex,Chinese parasoltree,BDM,BDM OTHER
SoCalCoast,FRMA6,Fraxinus malacophylla,Ash,BDM,BDM OTHER
