Id.x,SpsCode,DBH,StreetName,StreetNumber,City
232,ARCU,1,LAKE MURRAY BL,5995,La Mesa
238,ARCU,1,MARYLAND AV,5295,La Mesa
239,ARCU,2,MARY FELLOWS AV,5390,La Mesa
240,ARCU,2,BERTRO DR,5946,La Mesa
142,ARCU,2,DANA DR,4576,La Mesa
206,ARCU,1,KELTON AV,5830,La Mesa
231,ARCU,1,LAKE MURRAY BL,5995,La Mesa
233,ARCU,1,SWARTHMORE ST,5323,La Mesa
236,ARCU,1,SWARTHMORE ST,5323,La Mesa
234,ARCU,1,SWARTHMORE ST,5323,La Mesa
237,ARCU,1,SWARTHMORE ST,5323,La Mesa
252,ARCU,2,LOREN DR,9478,La Mesa
143,ARCU,2,BENTON WY,4804,La Mesa
222,ARCU,1,NAGEL ST,5760,La Mesa
212,ARCU,1,MIDLAND ST,8414,La Mesa
190,ARCU,2,CITY HALL,2,La Mesa
126,ARCU,1,VIOLET ST,4038,La Mesa
225,ARCU,2,WAKE ST,5560,La Mesa
145,ARCU,2,BENTON WY,4804,La Mesa
146,ARCU,2,BENTON WY,4804,La Mesa
253,ARCU,2,LOREN DR,9450,La Mesa
221,ARCU,1,NAGEL ST,5760,La Mesa
140,ARCU,1,71ST ST,4616,La Mesa
259,ARCU,2,POPPY ST,5970,La Mesa
257,ARCU,2,POPPY ST,5970,La Mesa
224,ARCU,1,SWALERO RD,6325,La Mesa
265,ARCU,1,HENDERSON DR,6395,La Mesa
218,ARCU,1,WINFIELD AV,6006,La Mesa
141,ARCU,1,71ST ST,4616,La Mesa
258,ARCU,2,POPPY ST,5970,La Mesa
148,ARCU,1,ZELDA AV,4791,La Mesa
241,ARCU,2,BERTRO DR,5946,La Mesa
159,ARCU,1,MAPLE AV,4790,La Mesa
251,ARCU,2,LOREN DR,9478,La Mesa
262,ARCU,1,PRIMROSE DR,6290,La Mesa
214,ARCU,1,EL PASO ST,8454,La Mesa
217,ARCU,1,DALLAS ST,8666,La Mesa
223,ARCU,1,NAGEL ST,5760,La Mesa
135,ARCU,1,HARBINSON AV,4288,La Mesa
213,ARCU,1,MIDLAND ST,8414,La Mesa
211,ARCU,1,MIDLAND ST,8414,La Mesa
139,ARCU,1,71ST ST,4616,La Mesa
193,ARCU,2,ALLISON AV PARKING LOT,2,La Mesa
248,ARCU,1,AMAYA DR,5880,La Mesa
207,ARCU,1,KELTON AV,5830,La Mesa
264,ARCU,1,HENDERSON DR,6395,La Mesa
261,ARCU,1,POPPY ST,5980,La Mesa
134,ARCU,1,HARBINSON AV,4288,La Mesa
197,ARCU,1,DATE AV,4608,La Mesa
132,ARCU,2,68TH ST,4453,La Mesa
209,ARCU,1,MIDLAND ST,8476,La Mesa
201,ARCU,1,YORKSHIRE AV,5765,La Mesa
196,ARCU,2,DATE AV,4577,La Mesa
155,ARCU,2,MAPLE AV,4790,La Mesa
226,ARCU,1,ST JOHN PL,8170,La Mesa
266,ARCU,2,HENDERSON DR,6395,La Mesa
219,ARCU,1,NAGEL ST,5760,La Mesa
129,ARCU,1,MARIAN ST,4057,La Mesa
220,ARCU,1,NAGEL ST,5760,La Mesa
131,ARCU,2,68TH ST,4453,La Mesa
136,ARCU,1,FRANCIS WY,4240,La Mesa
208,ARCU,1,KELTON AV,5830,La Mesa
260,ARCU,1,POPPY ST,5980,La Mesa
151,ARCU,1,LOMA VISTA DR,7767,La Mesa
210,ARCU,1,MIDLAND ST,8476,La Mesa
245,ARCU,1,AMAYA DR,5845,La Mesa
249,ARCU,1,AMAYA DR,5880,La Mesa
203,ARCU,2,TAU ST,5725,La Mesa
205,ARCU,2,CHI ST,8480,La Mesa
195,ARCU,2,DATE AV,4577,La Mesa
263,ARCU,1,PRIMROSE DR,6290,La Mesa
243,ARCU,2,NORAAK CT,5910,La Mesa
198,ARCU,1,ADULT ENRICHMENT CENTER,2,La Mesa
156,ARCU,1,MAPLE AV,4790,La Mesa
158,ARCU,1,MAPLE AV,4790,La Mesa
144,ARCU,2,BENTON WY,4804,La Mesa
215,ARCU,1,MELLMANOR DR,8630,La Mesa
216,ARCU,1,DALLAS ST,8666,La Mesa
149,ARCU,2,LA MESA BL,7871,La Mesa
244,ARCU,1,NORAAK CT,5910,La Mesa
191,ARCU,2,ALLISON AV PARKING LOT,2,La Mesa
186,ARCU,2,LAKE HELIX TR,9750,La Mesa
137,ARCU,1,FRANCIS WY,4240,La Mesa
138,ARCU,1,FRANCIS WY,4240,La Mesa
147,ARCU,1,COLONY RD,7188,La Mesa
161,ARCU,2,MAPLE AV,4790,La Mesa
200,ARCU,1,YORKSHIRE AV,5765,La Mesa
242,ARCU,2,BERTRO DR,5939,La Mesa
192,ARCU,2,ALLISON AV PARKING LOT,2,La Mesa
150,ARCU,1,LOMA VISTA DR,7767,La Mesa
267,ARCU,2,SUNSET PARK,2,La Mesa
286,ARCU,1,EASTRIDGE DR,7600,La Mesa
189,ARCU,2,CITY HALL,2,La Mesa
270,ARCU,2,SUN VALLEY GOLF COURSE,2,La Mesa
250,ARCU,2,LOREN DR,9472,La Mesa
247,ARCU,1,AMAYA DR,5845,La Mesa
229,ARCU,1,STADLER ST,8165,La Mesa
230,ARCU,1,LAKE MURRAY BL,5995,La Mesa
290,ARCU,2,EASTRIDGE DR,7912,La Mesa
292,ARCU,2,EASTRIDGE DR,7912,La Mesa
167,ARCU,1,DENWOOD RD,4665,La Mesa
187,ARCU,2,GOLONDRINA DR,9220,La Mesa
297,ARCU,2,EASTRIDGE DR,7912,La Mesa
293,ARCU,1,EASTRIDGE DR,7912,La Mesa
128,ARCU,2,VIOLET ST,4032,La Mesa
204,ARCU,1,CHI ST,8428,La Mesa
133,ARCU,2,68TH ST,4453,La Mesa
130,ARCU,1,MARIAN ST,4057,La Mesa
194,ARCU,1,DATE AV,4561,La Mesa
228,ARCU,1,ST JOHN PL,8170,La Mesa
188,ARCU,2,CITY HALL,2,La Mesa
288,ARCU,1,EASTRIDGE DR,7615,La Mesa
