Id.x,SpsCode,DBH,StreetName,City
29502,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
7781,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
85,AGFL,1,Riparian Corridor,Irvine
19494,AGFL,1,Sand Canyon Pkwy w/s btw Trabuco & Towngate,Irvine
29943,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29561,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29451,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
30037,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
19403,AGFL,1,Sand Canyon Pkwy w/s btw Trabuco & Towngate,Irvine
31133,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29562,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
47798,AGFL,1,Sand Canyon Pkwy w/s btw Trabuco & Towngate,Irvine
29524,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
7778,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
31134,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
11739,AGFL,1,,Irvine
29875,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
3712,AGFL,1,Riparian Corridor,Irvine
29945,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
29948,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
8193,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
18514,AGFL,1,Sand Canyon Pkwy w/s btw Trabuco & Towngate,Irvine
8233,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
19369,AGFL,1,Sand Canyon Pkwy w/s btw Trabuco & Towngate,Irvine
606,AGFL,1,Riparian Corridor,Irvine
954,AGFL,1,Riparian Corridor,Irvine
29947,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
1014,AGFL,1,Riparian Corridor,Irvine
1026,AGFL,1,Riparian Corridor,Irvine
29872,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
47026,AGFL,1,Sand Canyon Pkwy w/s btw Trabuco & Towngate,Irvine
46992,AGFL,1,Sand Canyon Pkwy w/s btw Trabuco & Towngate,Irvine
29453,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
47027,AGFL,1,Sand Canyon Pkwy w/s btw Trabuco & Towngate,Irvine
29523,AGFL,1,Btwn. Valley Oak and Sand Canyon Ave.,Irvine
55552,ALJU,3,Heritage Community Park,Irvine
53892,ALJU,2,Flagstone Park,Irvine
52687,ALJU,1,Heritage Community Park,Irvine
53905,ALJU,1,Flagstone Park,Irvine
55045,ALJU,1,Heritage Community Park,Irvine
51485,ALJU,1,Silkwood Park,Irvine
54994,ALJU,2,Flagstone Park,Irvine
52524,ALJU,1,Heritage Community Park,Irvine
54006,ALJU,1,Silkwood Park,Irvine
52525,ALJU,1,Heritage Community Park,Irvine
54319,ALJU,1,Heritage Community Park,Irvine
57774,ALJU,2,Flagstone Park,Irvine
53882,ALJU,2,Flagstone Park,Irvine
54296,ALJU,1,Heritage Community Park,Irvine
53287,ALJU,2,Flagstone Park,Irvine
18894,ALJU,3,Flagstone Park,Irvine
50046,ALJU,1,Btwn. Railroad Tracks and Deerfield,Irvine
54934,ALJU,1,Heritage Community Park,Irvine
53884,ALJU,2,Flagstone Park,Irvine
17402,ALJU,2,Flagstone Park,Irvine
55068,ALJU,1,Heritage Community Park,Irvine
53883,ALJU,2,Flagstone Park,Irvine
54299,ALJU,1,Heritage Community Park,Irvine
21918,ALJU,1,,Irvine
57537,ALJU,2,Flagstone Park,Irvine
50687,ALJU,1,Btwn. Deerfield and Irvine Center Dr.,Irvine
52578,ALJU,1,Heritage Community Park,Irvine
34089,ALJU,1,Operation Support Facility,Irvine
60028,ALJU,1,Heritage Community Park,Irvine
17955,ALJU,3,Flagstone Park,Irvine
55339,ALJU,1,Heritage Community Park,Irvine
50006,ALJU,1,Btwn. Railroad Tracks and Deerfield,Irvine
53881,ALJU,2,Flagstone Park,Irvine
59361,ALJU,1,Heritage Community Park,Irvine
17975,ALJU,2,Flagstone Park,Irvine
57416,ALJU,2,Flagstone Park,Irvine
17979,ALJU,1,Heritage Community Park,Irvine
54238,ALJU,2,Heritage Community Park,Irvine
52573,ALJU,1,Heritage Community Park,Irvine
54964,ALJU,1,Heritage Community Park,Irvine
55093,ALJU,1,Heritage Community Park,Irvine
56783,ALJU,1,Heritage Community Park,Irvine
54327,ALJU,1,Heritage Community Park,Irvine
44033,ALCO2,3,Canyon Park,Irvine
43494,ALCO2,1,Canyon Park,Irvine
43606,ALCO2,2,Canyon Park,Irvine
53523,ALCO2,1,Alderwood Park,Irvine
44223,ALCO2,2,Canyon Park,Irvine
43564,ALCO2,1,Canyon Park,Irvine
43550,ALCO2,2,Canyon Park,Irvine
43540,ALCO2,2,Canyon Park,Irvine
44208,ALCO2,2,Canyon Park,Irvine
43583,ALCO2,2,Canyon Park,Irvine
45366,ALCO2,1,Canyon Park,Irvine
44229,ALCO2,2,Canyon Park,Irvine
43549,ALCO2,3,Canyon Park,Irvine
42420,ALCO2,2,Canyon Park,Irvine
43539,ALCO2,1,Canyon Park,Irvine
43672,ALCO2,1,Canyon Park,Irvine
43668,ALCO2,1,Canyon Park,Irvine
43587,ALCO2,1,Canyon Park,Irvine
43695,ALCO2,2,Canyon Park,Irvine
44224,ALCO2,1,Canyon Park,Irvine
43551,ALCO2,1,Canyon Park,Irvine
58377,ALCO2,1,Canyon Park,Irvine
43563,ALCO2,2,Canyon Park,Irvine
43541,ALCO2,2,Canyon Park,Irvine
12096,ALRH,1,Hicks Canyon Bike Trail,Irvine
2678,ALRH,3,University Community Park,Irvine
12278,ALRH,1,Hicks Canyon Bike Trail,Irvine
22653,ALRH,1,,Irvine
22678,ALRH,1,,Irvine
36575,ALRH,1,Hicks Canyon Bike Trail,Irvine
56561,ALRH,1,Heritage Community Park,Irvine
38901,ALRH,1,Hicks Canyon Bike Trail,Irvine
42272,ALRH,1,,Irvine
54823,ALRH,2,Sycamore Park,Irvine
60061,ALRH,2,Woodbridge Community Park,Irvine
22843,ALRH,1,,Irvine
22629,ALRH,1,,Irvine
3061,ALRH,2,Riparian Corridor,Irvine
42206,ALRH,1,,Irvine
22147,ALRH,1,,Irvine
5175,ALRH,1,Bren Park,Irvine
