Species,Author notes,Source URL,Kingdom,Subkingdom,Infrakingdom,Superdivision,Division,Subdivision,Phylum,Subphylum,Class,Subclass,Superorder,Order,Family,subfamily,Genus
Fraxinus angustifolia ,,http://www.gbif.org/species/7325877,Plantae,,,,,,Tracheophyta,,,,,Lamiales,Oleaceae,,Fraxinus
Fraxinus holo moraine ,I think this is a misspelling and should be Fraxinum holotricha,,,,,,,,,,,,,,,,
Fraxinus holotricha 'Moraine' ,,https://plantinfo.umn.edu/node/1474044,,,,,,,,,,,,,Oleaceae,,Fraxinus
Fraxinus holotricha ,,http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=431356,,,,,,,Magnoliophyta,,,,,Lamiales,Oleaceae,,Fraxinus
Fraxinus oxycarpa raywood ,Same as B97,,,,,,,,,,,,,,,,
Fraxinus oxycarpa 'Raywood' ,Synonym of Fraxinus angustifolia 'Raywood' which is in cell A91,https://selectree.calpoly.edu/tree-detail/fraxinus-angustifolia-raywood,,,,,,,,,,,,,,,
Fraxinus oxycarpa ,,http://arctos.database.museum/name/Fraxinus%20oxycarpa,Plantae,,,,,,Tracheophyta,,,,,Scrophulariales,Oleaceae,,Fraxinus
Fraxinus veluntina glabra ,This is misspelled in the data file and a synonym for Fraxinus velutina.,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32936#null,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,,,,,Asteranae,Lamiales,Oleceae,,Fraxinus
Fraxinus velutina modesto ,,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32936#null,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,,,,,Asteranae,Lamiales,Oleceae,,Fraxinus
Geijera parviflora ,,http://www.gbif.org/species/7269149,Plantae,,,,,,Tracheophyta,,,,,Sapindales,Rutaceae,,Geijera
Griselinia littoralis ,,http://www.gbif.org/species/113561809,Plantae,,,,,,,,,,,Apiales,Griseliniaceae,,Griselinia
Hakea salicifolia ,,http://www.gbif.org/species/7287627,Plantae,,,,,,Tracheophyta,,,,,Proteales,Proteaceae,,Hakea
Hakea suaveolens ,,https://selectree.calpoly.edu/tree-detail/hakea-suaveolens,,,,,,,,,,,,,Proteaceae,,
Harpephyllum caffrum ,,http://www.gbif.org/species/5544508,Plantae,,,,,,Tracheophyta,,,,,Sapindales,Anacardiaceae,,Harpephyllum
Ilex altaclarensis 'Wilsonii' ,,https://selectree.calpoly.edu/tree-detail/ilex-wilsonii,,,,,,,,,,,,,Aquifoliaceae,,
Ilex altaclarensis ,,http://en.hortipedia.com/wiki/Ilex_x_altaclerensis,,,,,Magnoliophyta,Magnoliophytina,,,Rosopsida,Rosidae,Celastranae,Aquifoliales,,,
Inga affinis ,,http://www.gbif.org/species/5357569,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Fabales,Fabaceae,,Inga
Juglans x 'Paradox' ,cross between hindsii and regia,http://www.gbif.org/species/3054373,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Fagales,Juglandaceae,,Juglans
Juniperus chinensis torulosa ,,https://selectree.calpoly.edu/tree-detail/juniperus-chinensis-torulosa,,,,,,,,,,,,,Cupressaceae,,
Koelreuteria elegans ssp.formosana ,,http://www.gbif.org/species/7870645,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Sapindales,Sapindaceae,,Koelreuteria
Laburnum x watereri 'Vossii' ,cross between L. alpinum with L. anagyroides,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26761#null,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,,,Magnoliopsida,,Rosanae,Fabales,Favaceae,,Laburnum
Leptospermum scopulorum ,,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26761#null,,,,,,,,,,,,,,,
Ligustrum confusum ,,http://www.gbif.org/species/3683440,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Lamiales,Oleaceae,,Ligustrum
Liquidambar formosana ,,http://www.gbif.org/species/113657396,Plantae,,,,,,,,,,,Saxifragales,Altingiaceae,,Liquidambar
Lithocarpus edulis ,,http://www.gbif.org/species/5332491,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Fagales,Fagaceae,,Lithocarpus
Livistona decipiens ,,http://taxonomicon.taxonomy.nl/TaxonTree.aspx?src=0&id=92237,Plantae,Viridiplantae,Streptophyta,,,,Tracheophyta,Euphyllophytina,Spermatopsida,Magnoliidae,Lilianae,Arecales,,Coryphoideae,Livistona
Lycianthes rantonnei ,,http://www.gbif.org/species/113659065,Plantae,,,,,,,,,,,Solanales,Solanaceae,,Lycianthes
Magnolia campbellii ,,http://www.gbif.org/species/3152974,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Magnoliales,Magnoliaceae,,Magnolia
Malus syvestris ,,http://www.gbif.org/species/3001509,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Rosales,Rosaceae,,Malus
Malus X zumi 'Calocarpa' ,A hybrid of Malus baccata and Malus seiboldii,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=25256#null,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,,,Magnoliopsida,,Rosanae,Rosales,Rosaceae,,Malus
Markhamia hildebrandtii ,synonym for Marhamia lutea,http://www.gbif.org/species/101332654,Plantae,,,,,,,,,,,,Bignoniaceae,,Markhamia
Melaleuca armillaris ,,http://www.gbif.org/species/5415719,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Myrtales,Myrtaceae,,Melaleuca
Melaleuca decussata ,,http://eol.org/pages/1327063/names?all=1,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Myrtales,Myrtaceae,,Melaleuca
Metrosideros excelsus ,,http://www.gbif.org/species/3185393,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Myrtales,Myrtaceae,,Metrosideros
Michelia doltsopa 'Silver Cloud' ,,http://zipcodezoo.com/index.php/Michelia_doltsopa,Plantae,,,,,,,Euphyllophytina,,Magnoliidae,Magnolianae,Magnoliales,Magnoliaceae,,Michelia
Michelia figo ,,http://www.gbif.org/species/112329822,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Magnoliales,,,Magnolia
Myoporum insulare ,,http://www.gbif.org/species/113620838,Plantae,,,,,,,,,,,Lamiales,,,Myoporum
Neodypsis decaryi,Synonym for Dypsis decaryi,https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=817221#null,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,,,Magnoliopsida,,Lilianae,Arecales,Arecaceae,,Dypsis
Nolina longifolia ,,http://bie.ala.org.au/species/NZOR-4-61145#classification,Plantae,,,,,,Charophyta,,Equisetopsida,Magnoliidae,Lilianae,Asparagales,Asparagaceae,,Nolina
Nolina recurvata ,,http://www.gbif.org/species/2768039,Plantae,,,,,,Tracheophyta,,Liliopsida,,,Asparagales,Asparagaceae,,Nolina
Nolina stricta ,,http://www.gbif.org/species/2768034,Plantae,,,,,,Tracheophyta,,Liliopsida,,,Asparagales,Asparagaceae,,Nolina
Olmediella betschleriana ,,https://selectree.calpoly.edu/tree-detail/olmediella-betschleriana,,,,,,,,,,,,,Salicaceae,,Olmediella
Pachira glabra ,,http://www.gbif.org/species/119207104,Plantae,,,,,,,,,,,,Malvaceae,,Pachira
Parkinsonia microphyllum ,I can not find taxanomic information for this,,,,,,,,,,,,,,,,
Persea indica ,,http://www.gbif.org/species/113624050,Plantae,,,,,,,,,,,Laurales,Lauraceae,,Persea
Phoenix rupicola ,,http://www.gbif.org/species/5293176,Plantae,,,,,,Tracheophyta,,Liliopsida,,,Arecales,Arecaceae,,Phoenix
Phytolacca dioica ,,http://www.gbif.org/species/7309625,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Caryophyllales,Phytolaccaceae,,Phytolacca
Pinus roxburghii ,,http://www.gbif.org/species/5285084,Plantae,,,,,,Tracheophyta,,Pinopsida,,,Pinales,Pinaceae,,Pinus
Pittosporum eugenioides ,,http://www.gbif.org/species/113561885,Plantae,,,,,,,,,,,Apuales,Pittosporaceae,,Pittosporum
Pittosporum floribundum ,,http://www.gbif.org/species/4161638,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Apials,Pittosporaceae,,Pittosporum
Pittosporum phillyraeoides ,,https://npgsweb.ars-grin.gov/gringlobal/taxonomydetail.aspx?id=419412,,,,,,,,,,,,,Pittosporaceae,,Pittosporum
Pittosporum rhombifolium ,,https://selectree.calpoly.edu/tree-detail/pittosporum-rhombifolium,,,,,,,,,,,,,Pittosporaceae,,Pittosporum
Platanus mexicana ,,http://www.gbif.org/species/101402954,Plantae,,,,,,,,,,,,Platanaceae,,Platanus
Podocarpus gracilior ,Synonym for Afrocarpus gracilior,http://www.gbif.org/species/5286133,Plantae,,,,,,Tracheophyta,,Pinopsida,,,Pinales,Podocarpacese,,Afrocarpus
Podocarpus henkelii ,,http://www.gbif.org/species/101402954,,,,,,,,,,,,,,,
Podocarpus nagi ,,https://npgsweb.ars-grin.gov/gringlobal/taxonomydetail.aspx?29123,,,,,,,,,,,,,Podocarpaceae,,Podocarpus
Prunus blireiana ,"Misspelled in data file, should be Prunus x blireana",https://selectree.calpoly.edu/tree-detail/prunus-%C3%97-blireana,,,,,,,,,,,,,Rosaceae,,
Prunus campanulata ,,http://www.gbif.org/species/3021408,Plantae,,,,,,Tracheophyta,,,,,Rosales,Rosaceae,,Prunus
Prunus ilicifolium ,"Misspelled in data file, should be ilicifolia",https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24785#null,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,,,Magnoliopsida,,Rosanae,Rosales,Rosaceae,,Prunus
Prunus X blireiana ,,https://selectree.calpoly.edu/tree-detail/prunus-%C3%97-blireana,,,,,,,,,,,,,Rosaceae,,Prunus
Prunus x yedoensis ,,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i720,,,,,,,,,,,,,Rosaceae,,Prunus
Pterocarya fraxinifolius ,"Misspelled in data file, should be fraxinifolia",http://www.gbif.org/species/100423785,,,,,,,,,,,,Fagles,Juglandaceae,,Pterocarya
Pyrus betulifolia ,,http://eol.org/pages/635945/hierarchy_entries/57278893/names,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Rosales,Rosaceae,,Pyrus
Quercus castaneifolia ,,http://www.gbif.org/species/113610108,Plantae,,,,,,,,,,,Fagales,Fagaceae,,Quercus
Radermachera sinica ,,http://www.gbif.org/species/4092178,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Lamiales,Bignoniaceae,,Radermachera
Rauwolfia samarensis ,"Misspelled in data file, should be Rauvolfia. This is a synonym for Rauvolfia sumantrana.",http://www.gbif.org/species/3616339,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Gentianales,Apocynaceae,,Rauvolfia
Rhaphiolepis 'Majestic Beauty' ,,https://plantinfo.umn.edu/node/1662126,,,,,,,,,,,,,Rosaceae,,Rhaphiolepis
Salix babylonica 'Crispa' ,,http://www.gbif.org/species/5372639,Plantea,,,,,,Tracheophyta,,Magnoliopsida,,,Malpighiales,Salicaceae,,Salix
Solanum rantonnetii ,,http://www.gbif.org/species/3802869,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Solanales,Solanaceae,,Lycianthes
Tabebuia avellanedae ,,http://www.gbif.org/species/7298296/,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Lamiales,Bignoniaceae,,Handroanthus
Tabebuia chrysotricha ,Synonym for Handroanthus chrysotrichus,http://www.gbif.org/species/7298769,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Lamiales,Bignoniaceae,,Handroanthus
Tabebuia impetiginosa ,,http://www.gbif.org/species/7298618,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Lamiales,Bignoniaceae,,Handroanthus
Tristania laurina ,,http://www.gbif.org/species/101389940,Plantae,,,,,,,,,,,,Myrtaceae,,Tristaniopsis
Tristaniopsis conferta ,Synonym for Lophostmon confertus,http://www.gbif.org/species/3188429,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Myrtales,Myrtaceae,,Lophostemon
Tupidanthus calyptratus ,,http://www.gbif.org/species/3038442,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Apiales,Araliaceae,,Schefflera
Wodyetia bifurcata ,,http://www.gbif.org/species/2736620,Plantae,,,,,,Tracheophyta,,Liliopsida,,,Arecales,Arecaceae,,Wodyetia
Wodyetia X veitchia bifurcatum X arecin ,I could not find taxomy for this,,,,,,,,,,,,,,,,
xCuprocyparis leylandii ,,http://www.gbif.org/species/3611376,Plantae,,,,,,Tracheophyta,,Pinopsida,,,Pinales,Cupressaceae,,Cupressus
Xylosma congestum ,Synonym for Xylosma congestum,http://www.gbif.org/species/7429815,Plantae,,,,,,Tracheophyta,,Magnoliopsida,,,Malpighiales,Salicaceae,,Xylosma
Zizyphus jujuba ,"Misspelled in data file, should be Ziziphus",https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=196004#null,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,,,Magnoliopsida,,Rosanae,Rosales,Rhamnaceae,,Ziziphus
Abies cephalonica ,,http://www.gbif.org/species/2685326,Plantae,,,,,,Tracheophyta,,Pinopsida,,,Pinales,Pinaceae,,Abies
